"Date","Price","Open","High","Low","Change %"
"Apr 09, 2017","3.7327","3.7338","3.7386","3.6404","0.08%"
"Apr 02, 2017","3.7299","3.6352","3.7447","3.6215","2.61%"
"Mar 26, 2017","3.6352","3.6072","3.6631","3.5847","0.68%"
"Mar 19, 2017","3.6108","3.6344","3.6447","3.5870","-0.65%"
"Mar 12, 2017","3.6344","3.7310","3.7629","3.5980","-2.56%"
"Mar 05, 2017","3.7299","3.7031","3.7861","3.6690","0.73%"
"Feb 26, 2017","3.7029","3.6069","3.7471","3.5791","2.66%"
"Feb 19, 2017","3.6070","3.6309","3.6385","3.5567","-0.61%"
"Feb 12, 2017","3.6290","3.6943","3.7027","3.6255","-1.79%"
"Feb 05, 2017","3.6953","3.6983","3.7595","3.6615","-0.06%"
"Jan 29, 2017","3.6976","3.8670","3.8793","3.6869","-4.64%"
"Jan 22, 2017","3.8775","3.7651","3.9107","3.7354","2.97%"
"Jan 15, 2017","3.7655","3.7261","3.8435","3.7248","1.14%"
"Jan 08, 2017","3.7230","3.6456","3.9427","3.6390","2.15%"
"Jan 01, 2017","3.6445","3.5263","3.6498","3.5263","3.31%"
"Dec 25, 2016","3.5277","3.5180","3.5505","3.5010","0.31%"
"Dec 18, 2016","3.5169","3.5067","3.5420","3.4870","0.29%"
"Dec 11, 2016","3.5068","3.4816","3.5495","3.4510","0.57%"
"Dec 04, 2016","3.4869","3.5195","3.5621","3.3380","-0.91%"
"Nov 27, 2016","3.5190","3.4525","3.5860","3.4055","2.09%"
"Nov 20, 2016","3.4468","3.3735","3.4764","3.3500","2.12%"
"Nov 13, 2016","3.3753","3.2505","3.4088","3.2435","3.79%"
"Nov 06, 2016","3.2522","3.1568","3.2900","3.1420","3.02%"
"Oct 30, 2016","3.1569","3.1038","3.1755","3.0914","1.61%"
"Oct 23, 2016","3.1069","3.0834","3.1283","3.0680","0.83%"
"Oct 16, 2016","3.0814","3.0861","3.1145","3.0511","-0.29%"
"Oct 09, 2016","3.0905","3.0503","3.1145","3.0421","1.29%"
"Oct 02, 2016","3.0510","3.0020","3.0664","2.9979","1.73%"
"Sep 25, 2016","2.9992","2.9924","3.0128","2.9646","1.08%"
"Sep 18, 2016","2.9672","2.9824","2.9886","2.9368","-0.46%"
"Sep 11, 2016","2.9809","2.9693","2.9939","2.9610","0.60%"
"Sep 04, 2016","2.9630","2.9505","2.9797","2.9200","0.41%"
"Aug 28, 2016","2.9509","2.9569","2.9725","2.9411","-0.10%"
"Aug 21, 2016","2.9538","2.9301","2.9691","2.9220","0.84%"
"Aug 14, 2016","2.9293","2.9572","2.9617","2.9128","-1.02%"
"Aug 07, 2016","2.9594","3.0008","3.0045","2.9425","-1.31%"
"Jul 31, 2016","2.9987","2.9936","3.0280","2.9708","0.35%"
"Jul 24, 2016","2.9883","3.0655","3.0755","2.9845","-2.50%"
"Jul 17, 2016","3.0650","3.0214","3.0980","2.9250","1.50%"
"Jul 10, 2016","3.0198","2.8914","3.0486","2.8751","4.44%"
"Jul 03, 2016","2.8913","2.9046","2.9577","2.8822","-0.37%"
"Jun 26, 2016","2.9019","2.9275","2.9528","2.8684","-0.94%"
"Jun 19, 2016","2.9293","2.9312","3.0057","2.8403","0.08%"
"Jun 12, 2016","2.9271","2.9287","2.9597","2.9079","-0.07%"
